Consumer;Feeding on resource;Feeding on invertebrates;Feeding on fish;group
Adicella;1;0;0;primcons
Agapetus;3;0;0;primcons
Anacaena;2;7;0;omnivore
Ancylus;2;0;0;primcons
Anguilla_anguilla;0;16;1;carnivore
Asellus;3;0;0;primcons
Athericidae;0;4;0;carnivore
Baetis;3;0;0;primcons
Barbatula_quignardi;0;10;0;carnivore
Beraea;3;0;0;primcons
Biofilm;0;0;0;Res
Blephariceridae;1;0;0;primcons
Boyeria;0;13;0;carnivore
Bythinella;3;0;0;primcons
Caenis;3;0;0;primcons
Calopteryx;0;10;0;carnivore
Cecidomyiidae;3;14;0;omnivore
Ceraclea;3;3;0;omnivore
Ceratopogonidae;2;1;0;omnivore
Chaetopteryx;3;0;0;primcons
Chironomidae;3;8;0;omnivore
Corbicula;2;0;0;primcons
Cordulegaster;0;21;0;carnivore
CPOM;0;0;0;Res
Crunoecia;2;0;0;primcons
Curculionidae;3;2;0;omnivore
Dixidae;2;14;0;omnivore
Dryops;2;0;0;primcons
Dugesia;1;11;0;omnivore
Dupophilus;3;0;0;primcons
Ecdyonurus;3;0;0;primcons
Echinogammarus;3;4;0;omnivore
Elmis;3;0;0;primcons
Elmis_larvae;3;0;0;primcons
Elodes;3;0;0;primcons
Empididae;2;2;0;omnivore
Epeorus;3;0;0;primcons
Ephemera;3;1;0;omnivore
Ephydridae;3;14;0;omnivore
Erpobdella;3;8;0;omnivore
Esolus;3;0;0;primcons
Esolus_larvae;3;0;0;primcons
Eubria;1;0;0;primcons
FBOM;0;0;0;Res
Gerris;0;9;0;carnivore
Glossosoma;2;0;0;primcons
Habroleptoides;3;0;0;primcons
Habrophlebia;3;0;0;primcons
Hydracarina;0;11;0;carnivore
Hydraena;2;0;0;primcons
Hydrocyphon;3;0;0;primcons
Hydropsyche;3;5;0;omnivore
Hydroptila;3;0;0;primcons
Lasiocephala;2;0;0;primcons
Lepidostoma;2;0;0;primcons
Leuctra;3;0;0;primcons
Limnephilidae;3;2;0;omnivore
Limnius;3;0;0;primcons
Limnius_larvae;3;0;0;primcons
Limoniidae;3;4;0;omnivore
Lymnaea;3;1;0;omnivore
Micrasema;3;23;0;omnivore
Microvelia;1;9;0;omnivore
Muscidae;2;1;0;omnivore
Mystacides;3;23;0;omnivore
Nemoura;3;0;0;primcons
Normandia;3;0;0;primcons
Odontocerum;3;4;0;omnivore
Oligochaeta;2;0;0;primcons
Onychogomphus;0;15;0;carnivore
Oulimnius;3;0;0;primcons
Oulimnius_larvae;3;0;0;primcons
Parachondrostoma_miegii;1;0;0;primcons
Perla;1;9;0;omnivore
Philopotamus;3;23;0;omnivore
Phoxinus_bigerri;2;19;0;omnivore
Physa;3;1;0;omnivore
Pisidium;3;0;0;primcons
Planorbis;3;0;0;primcons
Plectrocnemia;2;16;0;omnivore
Polycelis;0;4;0;carnivore
Polycentropus;3;14;0;omnivore
Pomatinus;2;0;0;primcons
Potamophylax;3;0;0;primcons
Potamopyrgus;3;0;0;primcons
Protonemura;3;0;0;primcons
Psychodidae;3;0;0;primcons
Psychomyia;2;23;0;omnivore
Pyralidae;2;0;0;primcons
Radix;3;1;0;omnivore
Rhagionidae;0;14;0;carnivore
Rhithrogena;2;0;0;primcons
Rhyacophila;3;14;0;omnivore
Riolus;3;0;0;primcons
Salmo_trutta;0;36;1;carnivore
Scirtes;3;0;0;primcons
Sericostoma;3;23;0;omnivore
Serratella_Ephemerella;3;1;0;omnivore
Silo;3;0;0;primcons
Simuliidae;3;2;0;omnivore
Stratiomyidae;3;14;0;omnivore
Tabanidae;2;14;0;omnivore
Tipulidae;3;6;0;omnivore
Wormaldia;2;0;0;primcons
Yola;0;9;0;carnivore
