;Biofilm;CPOM;FBOM;Echinogammarus;Erpobdella;Anacaena;Curculionidae;Dryops;Dupophilus;Elmis_larvae;Elmis;Elodes;Esolus_larvae;Esolus;Eubria;Hydraena;Hydrocyphon;Limnius_larvae;Limnius;Normandia;Oulimnius_larvae;Oulimnius;Pomatinus;Riolus;Scirtes;Yola;Athericidae;Blephariceridae;Cecidomyiidae;Ceratopogonidae;Chironomidae;Dixidae;Empididae;Ephydridae;Limoniidae;Muscidae;Psychodidae;Rhagionidae;Simuliidae;Stratiomyidae;Tabanidae;Tipulidae;Baetis;Caenis;Ecdyonurus;Epeorus;Ephemera;Serratella_Ephemerella;Habroleptoides;Habrophlebia;Rhithrogena;Gerris;Microvelia;Asellus;Pyralidae;Potamopyrgus;Bythinella;Ancylus;Lymnaea;Physa;Pisidium;Planorbis;Radix;Polycelis;Boyeria;Calopteryx;Cordulegaster;Onychogomphus;Oligochaeta;Leuctra;Nemoura;Perla;Protonemura;Adicella;Agapetus;Beraea;Ceraclea;Chaetopteryx;Crunoecia;Glossosoma;Hydropsyche;Hydroptila;Lasiocephala;Lepidostoma;Limnephilidae;Micrasema;Mystacides;Odontocerum;Philopotamus;Plectrocnemia;Polycentropus;Potamophylax;Psychomyia;Rhyacophila;Sericostoma;Silo;Wormaldia;Dugesia;Hydracarina;Corbicula;Anguilla_anguilla;Barbatula_quignardi;Parachondrostoma_miegii;Phoxinus_bigerri;Salmo_trutta
Biofilm;0;0;0;2;0.021484375;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;5;1.69270625;2;2.25;3;0.5;5;0.3333;1;2;0;1;3;0;2;5;1;2;3;1;4;3;3;3;0;0;1;0.021484375;2;1;5;3;5;5;2;5;0;0;0;0;0;1;1.5;1;0.021484375;1;1;5;3;1;0.021484375;0.021484375;5;3;1;0.021484375;1;1.22;2;2;0.021484375;3;0.021484375;3;0.021484375;5;1;1;4;3;0.021484375;0;3;0;0;1;1;0
CPOM;0;0;0;5;0.021484375;0.021484375;1;3;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0;0;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;3;0.021484375;0.021484375;0;0;0;1.157592773;0;0.5;0;0;1;3;0;4;0;0.021484375;5;1;4;2;2;3;0.021484375;2;3;1;3;0;0;0;3;0;4;2;2;2;3;0.021484375;3;3;0;0;0;0;0;0;2;2;0;2;0;0.021484375;2;1;5;5;0.021484375;1;0.021484375;5;4;2.61;2;0.021484375;0.021484375;0.021484375;0.021484375;1;5;0;1;3;1;0;0;0;0;0;0;0;1;0
FBOM;0;0;0;1;0.021484375;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1.100299023;1;2.75;2;0.021484375;2;0.3333;1;2;0;2.5;1;1;2;2;4;2;1;3;1;3;1;1;0;0.021484375;1;0.021484375;0.021484375;0.021484375;0;1;0.021484375;3;0.021484375;0.021484375;0;0;0;0;0;3;1;1;0;1;0;1;1;4;1;0;0;2;2;0;0;0.166;1;2;1;2;0;1;1;1;1;0.021484375;1;3;0;0;3;0;0;0;0;0
Adicella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Agapetus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anacaena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ancylus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
Asellus;0;0;0;0;0;0.571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33333;0.66667;0;0;0;0;0;0;0;0;0;0;0.75;0.384615385;0;0.238095238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.272727273;1;0;1;1;0;1;1
Athericidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baetis;0;0;0;0.75;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.057942188;0;0.34375;0.178571429;0;0.142857143;0.583325;0;0;0.357142857;0;0.214285714;0.357142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.384615385;0.5;0.238095238;0.333333333;0;0;0;0.555555556;0;0;0;0;0;0;0;0;0.8;0;0;0;0.3;0.043478261;0.043478261;1.25;0.043478261;0.25;0.5;0;0.043478261;0.428571429;0.086956522;0;0;0;1;0;1;1;0;1;1
